Focal,Interacting,Agg,Trial_ID,#I,Dur,Trial
15-C,15-B,1,116,1,6,3
15-D,15-C,0,64,0,0,1
15-D,15-B,0,86,0,0,2
15-D,15-A,1,105,2,13,3
16-A,16-B,1,55,1,14,1
16-A,16-C,0,89,0,0,2
16-A,16-D,0,117,0,0,3
16-B,16-A,0,55,0,0,1
16-B,16-D,1,97,1,8,2
16-B,16-C,0,122,0,0,3
16-C,16-D,0,67,0,0,1
16-C,16-A,0,89,0,0,2
16-C,16-B,1,122,2,26,3
16-D,16-C,1,67,1,2,1
16-D,16-B,0,97,0,0,2
16-D,16-A,1,117,2,55,3
17-A,17-B,1,71,2,6,1
17-A,17-C,0,80,0,0,2
17-A,17-D,0,123,0,0,3
17-B,17-A,0,71,0,0,1
17-B,17-D,0,96,0,0,2
17-B,17-C,1,108,1,20,3
17-C,17-D,0,70,0,0,1
17-C,17-A,0,80,0,0,2
17-C,17-B,1,108,1,17,3
17-D,17-C,0,70,0,0,1
17-D,17-B,0,96,0,0,2
17-D,17-A,1,123,2,34,3
18-A,18-B,0,75,0,0,1
18-A,18-C,1,99,1,19,2
18-A,18-D,1,121,1,1,3
18-B,18-A,0,75,0,0,1
18-B,18-D,0,79,0,0,2
18-B,18-C,0,120,0,0,3
18-C,18-D,0,68,0,0,1
18-C,18-A,1,99,1,6,2
18-C,18-B,1,120,1,2,3
18-D,18-C,1,68,1,9,1
18-D,18-B,1,79,1,12,2
18-D,18-A,1,121,1,4,3
19-A,19-B,1,57,1,3,1
19-A,19-C,1,100,1,7,2
19-A,19-D,1,114,2,6,3
19-B,19-A,0,57,0,0,1
19-B,19-D,0,84,0,0,2
19-B,19-C,0,124,0,0,3
19-C,19-D,0,61,0,0,1
19-C,19-A,0,100,0,0,2
19-C,19-B,0,124,0,0,3
19-D,19-C,1,61,1,6,1
19-D,19-B,0,84,0,0,2
19-D,19-A,1,114,2,6,3
20-A,20-B,0,67,0,0,1
20-A,20-C,1,91,1,5,2
20-A,20-D,0,125,0,0,3
20-B,20-A,0,67,0,0,1
20-B,20-D,0,81,0,0,2
20-B,20-C,1,113,1,15,3
20-C,20-D,0,56,0,0,1
20-C,20-A,0,91,0,0,2
20-C,20-B,0,113,0,0,3
20-D,20-C,1,56,2,15,1
20-D,20-B,1,81,1,15,2
20-D,20-A,1,125,2,6,3
21-A,21-B,0,73,0,0,1
21-A,21-C,1,98,1,34,2
21-A,21-D,1,126,2,31,3
21-B,21-A,0,73,0,0,1
21-B,21-D,0,85,0,0,2
21-B,21-C,0,106,0,0,3
21-C,21-D,0,66,0,0,1
21-C,21-A,0,98,0,0,2
21-C,21-B,0,106,0,0,3
21-D,21-C,0,66,0,0,1
21-D,21-B,0,85,0,0,2
21-D,21-A,0,126,0,0,3
22-A,22-B,0,132,0,0,1
22-A,22-C,1,136,1,24,2
22-A,22-D,1,143,2,16,3
22-B,22-A,0,132,0,0,1
22-B,22-D,0,138,0,0,2
22-B,22-C,0,142,0,0,3
22-C,22-D,0,127,0,0,1
22-C,22-A,0,136,0,0,2
22-C,22-B,0,142,0,0,3
22-D,22-C,0,127,0,0,1
22-D,22-B,0,138,0,0,2
22-D,22-A,0,143,0,0,3
23-A,23-B,1,130,2,27,1
23-A,23-C,0,137,0,0,2
23-A,23-D,1,139,1,10,3
23-B,23-A,0,130,0,0,1
23-B,23-D,1,135,1,16,2
23-B,23-C,0,141,0,0,3
23-C,23-D,1,128,2,26,1
23-C,23-A,1,137,1,8,2
23-C,23-B ,1,141,2,17,3
23-D,23-C,1,128,1,1,1
23-D,23-B,1,135,1,17,2
23-D,23-A,0,139,0,0,3
24-A,24-B,0,129,0,0,1
24-A,24-C,0,134,0,0,2
24-A,24-D,0,144,0,0,3
24-B,24-A,0,129,0,0,1
24-B,24-D,0,133,0,0,2
24-B,24-C,0,140,0,0,3
24-C,24-D,0,131,0,0,1
24-C,24-A,1,134,1,3,2
24-C,24-B,1,140,1,10,3
24-D,24-C,1,131,1,41,1
24-D,24-B,1,133,1,17,2
24-D,24-A,1,144,2,16,3
25-A,25-B,0,148,0,0,1
25-A,25-C,0,161,0,0,2
25-A,25-D,0,178,0,0,3
25-B,25-A,0,148,0,0,1
25-B,25-D,0,163,0,0,2
25-B,25-C,0,185,0,0,3
25-C,25-D,1,146,2,2,1
25-C,25-A,0,161,0,0,2
25-C,25-B,1,185,1,19,3
